"ΝΟΜΑΡΧΙΑ","ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΣ (Καλλικράτειος)","ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ","ΔΗΜΟΤΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΕΚΛΟΓΙΚΟ ΔΙΑΜΕΡΙΣΜΑ","ΣΥΝΟΙΚΙΣΜΟΣ","ΠΛΗΘΟΣ ΕΚΛΟΓΕΩΝ"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,,"11,718"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,,ΤΣΑΚΟΥ,,"8,990"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,,ΚΟΝΤΟΠΕΥΚΟΥ,,"8,525"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,ΑΓΙΑΣ ΠΑΡΑΣΚΕΥΗΣ,,ΠΑΡΑΔΕΙΣΟΣ-ΠΕΥΚΑΚΙΑ,,"6,656"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΚΕΝΤΡΟΥ,,"7,639"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΑΓΙΩΝ ΑΝΑΡΓΥΡΩΝ,,"7,777"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΑΓΙΟΥ ΝΙΚΟΛΑΟΥ,,"8,152"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΑΓΙΟΥ ΘΩΜΑ-ΠΟΛΥΔΡΟΣΟΥ,,"6,877"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΑΝΑΒΡΥΤΩΝ-ΝΕΑΣ ΛΕΣΒΟΥ,,"7,288"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΑΜΑΡΟΥΣΙΟΥ,ΑΜΑΡΟΥΣΙΟΥ,,ΚΟΚΚΙΝΙΑ-ΣΩΡΟΣ,,"8,068"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΒΡΙΛΗΣΣΙΩΝ,ΒΡΙΛΗΣΣΙΩΝ,,ΒΡΙΛΗΣΣΙΩΝ,,"18,281"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,,ΑΓΙΑΣ ΤΡΙΑΔΑΣ,,"6,746"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,,ΚΑΝΑΠΙΤΣΑ,,"5,059"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,,ΠΡΑΣΙΝΟΥ ΛΟΦΟΥ,,"6,668"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,,ΣΤΑΘΜΟΥ,,"8,494"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟΥ,,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,,"6,021"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΗΦΙΣΙΑΣ,ΕΚΑΛΗΣ,,ΕΚΑΛΗΣ,,"4,353"
ΑΘΗΝΩΝ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,ΚΗΦΙΣΙΑΣ,ΚΗΦΙΣΙΑΣ,,ΑΓΙΑΣ ΤΡΙΑΔΟΣ,,"11,722"
